,Fight_Id,Win/No Contest/Draw,Fighter_1,Fighter_2,KD_1,KD_2,STR_1,STR_2,TD_1,TD_2,SUB_1,SUB_2,Weight_Class,Method,Round,Fight_Time,Event_Id,f1_wins,f1_losses,f1_height,f1_weight,f1_reach,f1_stance,f1_age,f1_SLpM,f1_sig_str_acc,f1_SApM,f1_str_def,f1_td_avg,f1_td_acc,f1_td_def,f1_sub_avg,f2_wins,f2_losses,f2_height,f2_weight,f2_reach,f2_stance,f2_age,f2_SLpM,f2_sig_str_acc,f2_SApM,f2_str_def,f2_td_avg,f2_td_acc,f2_td_def,f2_sub_avg,reach_diff,age_diff,height_diff,sig_str_diff,td_def_diff,td_avg_diff,f1_win_rate,f2_win_rate,win_rate_diff
5091,c1bfbf5447f21f37,win,Zak Cummings,Dominique Steele,1.0,0.0,14.0,2.0,0.0,0.0,0.0,0.0,Middleweight,KO/TKO Punches,1,43,0c3838c8f7c620c2,25.0,7.0,182.88,92.99,190.5,Southpaw,39.0,2.96,0.35,2.91,0.55,0.62,0.28,0.66,0.6,14.0,9.0,177.8,77.11,187.96,Orthodox,36.0,2.32,0.49,2.42,0.5,2.95,0.42,0.76,0.0,2.539999999999992,3.0,5.079999999999984,-0.14,-0.09999999999999998,-2.33,0.78125,0.6086956521739131,0.17255434782608692
5092,2e47823d38a5649b,win,Michael Bisping,Thales Leites,0.0,0.0,115.0,79.0,0.0,1.0,0.0,0.0,Middleweight,S-DEC,5,300,ef7fa30364cbe7f2,30.0,9.0,185.42,83.91,190.5,Orthodox,45.0,4.33,0.38,2.71,0.65,1.05,0.43,0.63,0.3,28.0,9.0,185.42,83.91,198.12,Orthodox,42.0,2.13,0.4,2.99,0.52,2.1,0.27,0.3,1.1,-7.6200000000000045,3.0,0.0,-0.020000000000000018,0.33,-1.05,0.7692307692307693,0.7567567567567568,0.012474012474012475
5093,0b8fdeeb626b4396,win,Evan Dunham,Ross Pearson,0.0,0.0,26.0,16.0,5.0,0.0,1.0,0.0,Lightweight,U-DEC,3,300,ef7fa30364cbe7f2,18.0,9.0,177.8,70.31,177.8,Southpaw,42.0,5.33,0.39,3.54,0.61,1.82,0.33,0.79,1.0,20.0,16.0,172.72,70.31,175.26,Orthodox,39.0,3.68,0.4,4.09,0.62,0.74,0.35,0.75,0.0,2.5400000000000205,3.0,5.0800000000000125,-0.010000000000000009,0.040000000000000036,1.08,0.6666666666666666,0.5555555555555556,0.11111111111111105
5094,c7780ac294530c0d,win,Joe Duffy,Ivan Jorge,0.0,0.0,8.0,7.0,0.0,0.0,1.0,0.0,Lightweight,SUB Triangle Choke,1,185,ef7fa30364cbe7f2,16.0,5.0,177.8,70.31,185.42,Orthodox,36.0,2.68,0.34,3.78,0.54,0.96,0.66,0.64,0.7,27.0,7.0,175.26,70.31,185.42,Orthodox,43.0,3.41,0.49,2.91,0.59,1.56,0.16,0.75,0.6,0.0,-7.0,2.5400000000000205,-0.14999999999999997,-0.10999999999999999,-0.6000000000000001,0.7619047619047619,0.7941176470588235,-0.03221288515406162
5095,d45474993a750878,win,Joanne Wood,Cortney Casey,1.0,0.0,90.0,57.0,3.0,0.0,0.0,0.0,Women's Strawweight,U-DEC,3,300,ef7fa30364cbe7f2,17.0,8.0,167.64,56.7,165.1,Orthodox,38.0,7.1,0.51,4.89,0.51,1.52,0.55,0.58,0.3,10.0,10.0,170.18,56.7,170.18,Orthodox,36.0,4.29,0.39,4.0,0.55,0.39,0.31,0.39,0.5,-5.0800000000000125,2.0,-2.5400000000000205,0.12,0.18999999999999995,1.13,0.68,0.5,0.18000000000000005
5096,979538ff8ae1ccd5,win,Leon Edwards,Pawel Pawlak,1.0,0.0,36.0,24.0,0.0,0.0,0.0,0.0,Welterweight,U-DEC,3,300,ef7fa30364cbe7f2,22.0,3.0,187.96,77.11,187.96,Southpaw,32.0,2.75,0.53,2.34,0.54,1.25,0.34,0.7,0.4,12.0,3.0,182.88,77.11,185.42,Orthodox,35.0,1.67,0.33,2.22,0.53,1.0,0.37,0.7,0.0,2.5400000000000205,-3.0,5.0800000000000125,0.2,0.0,0.25,0.88,0.8,0.07999999999999996
5097,976d2cc3d08ca814,win,Stevie Ray,Leonardo Mafra,1.0,0.0,19.0,23.0,0.0,0.0,0.0,0.0,Lightweight,KO/TKO Punches,1,150,ef7fa30364cbe7f2,23.0,9.0,177.8,70.31,177.8,Southpaw,34.0,3.73,0.44,2.93,0.54,0.75,0.46,0.55,0.6,13.0,4.0,177.8,70.31,177.8,Orthodox,34.0,4.55,0.48,4.38,0.43,2.12,0.83,0.69,0.4,0.0,0.0,0.0,-0.03999999999999998,-0.1399999999999999,-1.37,0.71875,0.7647058823529411,-0.045955882352941124
5098,486fbba33876da4b,win,Paddy Holohan,Vaughan Lee,0.0,0.0,28.0,27.0,1.0,0.0,2.0,1.0,Flyweight,U-DEC,3,300,ef7fa30364cbe7f2,12.0,2.0,177.8,56.7,175.26,Orthodox,35.0,2.13,0.46,2.81,0.46,2.88,0.47,0.71,1.3,14.0,13.0,167.64,56.7,167.64,Orthodox,41.0,3.47,0.47,2.07,0.7,0.81,0.33,0.72,1.0,7.6200000000000045,-6.0,10.160000000000025,-0.009999999999999953,-0.010000000000000009,2.07,0.8571428571428571,0.5185185185185185,0.3386243386243386
5099,b0cb6a1da8e0da81,win,Ilir Latifi,Hans Stringer,1.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,Light Heavyweight,KO/TKO Punch,1,56,ef7fa30364cbe7f2,17.0,9.0,177.8,104.33,185.42,Orthodox,41.0,2.05,0.45,2.93,0.56,2.11,0.35,1.0,0.3,22.0,8.0,190.5,92.99,195.65223199313758,Orthodox,36.0,3.16,0.61,2.84,0.41,2.4,0.36,0.62,0.0,-10.232231993137589,5.0,-12.699999999999989,-0.15999999999999998,0.38,-0.29000000000000004,0.6538461538461539,0.7333333333333333,-0.07948717948717943
5100,7e9cb0c322773157,win,Mickael Lebout,Teemu Packalen,0.0,0.0,43.0,35.0,0.0,3.0,0.0,1.0,Lightweight,U-DEC,3,300,ef7fa30364cbe7f2,16.0,7.0,180.34,70.31,185.42,Orthodox,36.0,2.6,0.34,2.98,0.54,0.0,0.0,0.6,0.0,8.0,3.0,185.42,70.31,190.5,Orthodox,36.0,2.57,0.54,3.91,0.47,2.31,0.25,1.0,1.5,-5.0800000000000125,0.0,-5.079999999999984,-0.2,-0.4,-2.31,0.6956521739130435,0.7272727272727273,-0.031620553359683834
5101,3bb7210200d90d90,win,Robert Whiteford,Paul Redmond,1.0,0.0,20.0,11.0,0.0,0.0,0.0,0.0,Featherweight,KO/TKO Punch,1,184,ef7fa30364cbe7f2,14.0,4.0,175.26,65.77,175.26,Southpaw,40.0,2.33,0.46,1.99,0.62,1.9,0.3,0.45,0.0,12.0,7.0,177.8,65.77,182.23293319138068,Orthodox,37.0,0.72,0.34,2.99,0.41,0.0,0.0,0.5,0.0,-6.97293319138069,3.0,-2.5400000000000205,0.12,-0.04999999999999999,1.9,0.7777777777777778,0.631578947368421,0.14619883040935677
5102,9cbdbbc414d6dd83,win,Jimmie Rivera,Marcus Brimage,1.0,0.0,15.0,9.0,0.0,0.0,0.0,0.0,Bantamweight,KO/TKO Punches,1,89,ef7fa30364cbe7f2,23.0,5.0,162.56,61.23,172.72,Orthodox,34.0,4.03,0.4,3.9,0.6,0.88,0.27,0.92,0.1,7.0,7.0,162.56,61.23,180.34,Southpaw,38.0,3.97,0.35,3.64,0.56,0.56,1.0,0.8,0.0,-7.6200000000000045,-4.0,0.0,0.050000000000000044,0.12,0.31999999999999995,0.8214285714285714,0.5,0.3214285714285714
5103,2e12db181792090f,win,Daniel Omielanczuk,Chris de la Rocha,1.0,0.0,15.0,1.0,0.0,0.0,0.0,0.0,Heavyweight,KO/TKO Punch,1,48,ef7fa30364cbe7f2,19.0,8.0,182.88,112.04,187.96,Southpaw,41.0,3.09,0.57,3.29,0.47,0.56,0.26,0.68,0.1,5.0,3.0,190.5,113.4,203.2,Orthodox,44.0,4.08,0.45,6.37,0.43,2.02,0.3,0.33,1.0,-15.23999999999998,-3.0,-7.6200000000000045,0.11999999999999994,0.35000000000000003,-1.46,0.7037037037037037,0.625,0.07870370370370372
5104,3b83ec99accfd271,win,Frank Mir,Todd Duffee,1.0,0.0,16.0,9.0,0.0,0.0,0.0,0.0,Heavyweight,KO/TKO Punch,1,73,36877f0e62b25b96,18.0,11.0,190.5,119.75,200.66,Southpaw,44.0,2.18,0.47,3.84,0.38,2.02,0.4,0.54,2.0,9.0,3.0,190.5,117.93,198.12,Orthodox,38.0,5.93,0.37,2.87,0.56,0.72,0.25,0.9,0.0,2.539999999999992,6.0,0.0,0.09999999999999998,-0.36,1.3,0.6206896551724138,0.75,-0.1293103448275862
5105,c0e8095c91c39b06,win,Tony Ferguson,Josh Thomson,1.0,0.0,83.0,33.0,0.0,1.0,2.0,0.0,Lightweight,U-DEC,3,300,36877f0e62b25b96,26.0,10.0,180.34,70.31,193.04,Orthodox,40.0,4.94,0.45,4.41,0.55,0.39,0.35,0.67,0.9,22.0,9.0,177.8,70.31,180.34,Orthodox,45.0,2.59,0.47,2.12,0.64,1.92,0.39,0.54,1.3,12.699999999999989,-5.0,2.539999999999992,-0.019999999999999962,0.13,-1.5299999999999998,0.7222222222222222,0.7096774193548387,0.012544802867383464
5106,fd984e8a9e25c927,win,Holly Holm,Marion Reneau,0.0,0.0,65.0,26.0,1.0,0.0,0.0,0.0,Women's Bantamweight,U-DEC,3,300,36877f0e62b25b96,15.0,6.0,172.72,61.23,175.26,Southpaw,42.0,3.21,0.4,2.79,0.56,0.9,0.3,0.78,0.1,9.0,8.0,167.64,61.23,172.72,Orthodox,46.0,3.2,0.41,3.52,0.59,0.62,0.63,0.5,0.8,2.539999999999992,-4.0,5.0800000000000125,-0.009999999999999953,0.28,0.28,0.7142857142857143,0.5294117647058824,0.18487394957983194
5107,ea967877dd4d6efb,win,Manvel Gamburyan,Scott Jorgensen,1.0,0.0,42.0,36.0,5.0,1.0,2.0,0.0,Bantamweight,U-DEC,3,300,36877f0e62b25b96,15.0,10.0,165.1,61.23,170.18,Orthodox,42.0,2.13,0.41,2.83,0.55,3.26,0.34,0.69,0.7,15.0,12.0,165.1,61.23,167.64,Orthodox,41.0,3.37,0.4,3.41,0.65,2.61,0.45,0.59,0.7,2.5400000000000205,1.0,0.0,0.009999999999999953,0.09999999999999998,0.6499999999999999,0.6,0.5555555555555556,0.0444444444444444
5108,b8019af428c064ef,win,Kevin Lee,James Moontasri,0.0,0.0,9.0,6.0,1.0,0.0,1.0,0.0,Lightweight,SUB Rear Naked Choke,1,176,36877f0e62b25b96,18.0,8.0,175.26,77.11,195.58,Orthodox,31.0,3.88,0.42,3.6,0.5,3.18,0.43,0.75,0.8,9.0,5.0,177.8,77.11,180.34,Switch,35.0,2.39,0.48,3.86,0.4,0.0,0.0,0.79,0.2,15.240000000000009,-4.0,-2.5400000000000205,-0.06,-0.040000000000000036,3.18,0.6923076923076923,0.6428571428571429,0.049450549450549386
5109,464133df9ca19865,win,Alan Jouban,Matt Dwyer,1.0,1.0,51.0,29.0,1.0,0.0,0.0,0.0,Welterweight,U-DEC,3,300,36877f0e62b25b96,17.0,7.0,182.88,77.11,185.42,Southpaw,42.0,5.67,0.5,3.77,0.6,0.51,0.44,0.58,0.3,9.0,4.0,193.04,77.11,193.04,Orthodox,34.0,2.57,0.34,3.24,0.54,0.44,0.1,0.6,0.0,-7.6200000000000045,8.0,-10.159999999999997,0.15999999999999998,-0.020000000000000018,0.07,0.7083333333333334,0.6923076923076923,0.01602564102564108
5110,541e5c7a87712fc2,win,Sam Sicilia,Yaotzin Meza,0.0,0.0,12.0,18.0,2.0,1.0,4.0,1.0,Featherweight,U-DEC,3,300,36877f0e62b25b96,15.0,8.0,172.72,65.77,170.18,Orthodox,38.0,2.46,0.33,3.55,0.59,1.45,0.43,0.7,0.9,21.0,11.0,175.26,65.77,180.34,Orthodox,43.0,1.43,0.41,1.62,0.64,1.06,0.2,0.18,1.4,-10.159999999999997,-5.0,-2.539999999999992,-0.07999999999999996,0.52,0.3899999999999999,0.6521739130434783,0.65625,-0.0040760869565217295
5111,d447919ec1a9f34c,win,Jessica Andrade,Sarah Moras,0.0,0.0,50.0,18.0,3.0,0.0,0.0,1.0,Women's Bantamweight,U-DEC,3,300,36877f0e62b25b96,25.0,12.0,154.94,52.16,157.48,Orthodox,32.0,6.67,0.5,5.36,0.54,2.45,0.54,0.72,0.4,6.0,8.0,170.18,61.23,170.18,Orthodox,35.0,2.28,0.34,3.58,0.5,0.67,0.21,0.33,0.8,-12.700000000000017,-3.0,-15.240000000000009,0.15999999999999998,0.38999999999999996,1.7800000000000002,0.6756756756756757,0.42857142857142855,0.2471042471042471
5112,3100a4e29da974ad,win,Rani Yahya,Masanori Kanehara,0.0,0.0,24.0,24.0,4.0,0.0,2.0,0.0,Bantamweight,S-DEC,3,300,36877f0e62b25b96,28.0,11.0,167.64,61.23,170.18,Orthodox,39.0,1.59,0.37,1.77,0.5,2.86,0.32,0.24,1.9,26.0,12.0,170.18,61.23,170.18,Orthodox,41.0,1.88,0.49,1.63,0.62,1.44,0.5,0.63,0.9,0.0,-2.0,-2.5400000000000205,-0.12,-0.39,1.42,0.717948717948718,0.6842105263157895,0.03373819163292846
5113,5301d765d64f863e,win,Sean Strickland,Igor Araujo,1.0,0.0,71.0,39.0,3.0,0.0,2.0,0.0,Welterweight,U-DEC,3,300,36877f0e62b25b96,28.0,6.0,185.42,83.91,193.04,Orthodox,33.0,5.91,0.41,4.33,0.62,0.85,0.64,0.77,0.2,25.0,9.0,185.42,77.11,195.58,Orthodox,43.0,1.52,0.42,2.86,0.49,0.86,0.15,0.22,0.6,-2.5400000000000205,-10.0,0.0,-0.010000000000000009,0.55,-0.010000000000000009,0.8235294117647058,0.7352941176470589,0.08823529411764697
5114,a16d8d0cc93372c4,win,Kevin Casey,Ildemar Alcantara,0.0,0.0,41.0,20.0,1.0,0.0,0.0,0.0,Middleweight,U-DEC,3,300,36877f0e62b25b96,9.0,5.0,180.34,83.91,195.58,Southpaw,42.0,2.27,0.53,3.76,0.46,0.79,0.22,0.27,0.4,21.0,11.0,187.96,83.91,198.12,Orthodox,41.0,1.93,0.38,2.63,0.5,2.0,0.68,0.81,0.9,-2.539999999999992,1.0,-7.6200000000000045,0.15000000000000002,-0.54,-1.21,0.6428571428571429,0.65625,-0.013392857142857095
5115,c3b733bf084c2cd0,win,Lyman Good,Andrew Craig,1.0,0.0,55.0,20.0,0.0,0.0,0.0,0.0,Welterweight,KO/TKO Punch,2,217,36877f0e62b25b96,21.0,6.0,182.88,77.11,187.96,Orthodox,38.0,5.34,0.48,4.01,0.63,0.27,1.0,0.75,0.0,9.0,4.0,185.42,77.11,193.04,Orthodox,38.0,2.39,0.4,3.01,0.5,0.53,0.37,0.72,0.0,-5.079999999999984,0.0,-2.539999999999992,0.07999999999999996,0.030000000000000027,-0.26,0.7777777777777778,0.6923076923076923,0.0854700854700855
5116,54a15700ab185420,win,Stephen Thompson,Jake Ellenberger,2.0,1.0,20.0,5.0,1.0,0.0,0.0,0.0,Welterweight,KO/TKO Kick,1,269,a890f9a791ed615d,17.0,7.0,182.88,77.11,190.5,Orthodox,41.0,4.11,0.46,3.03,0.54,0.26,0.41,0.65,0.0,31.0,15.0,175.26,77.11,180.34,Orthodox,39.0,2.47,0.39,2.83,0.6,2.04,0.47,0.86,0.4,10.159999999999997,2.0,7.6200000000000045,0.07,-0.20999999999999996,-1.78,0.7083333333333334,0.6739130434782609,0.034420289855072506
5117,d4e3baff532df842,win,Kamaru Usman,Hayder Hassan,0.0,0.0,15.0,3.0,6.0,0.0,1.0,0.0,Welterweight,SUB Arm Triangle,2,79,a890f9a791ed615d,20.0,4.0,182.88,77.11,193.04,Switch,36.0,4.36,0.52,2.74,0.54,2.82,0.45,0.89,0.1,6.0,3.0,177.8,77.11,182.23293319138068,Orthodox,41.0,2.11,0.46,3.16,0.48,0.0,0.0,0.25,0.0,10.807066808619311,-5.0,5.079999999999984,0.06,0.64,2.82,0.8333333333333334,0.6666666666666666,0.16666666666666674
5118,43b9e58ebf4a75ea,win,Michael Graves,Vicente Luque,0.0,0.0,27.0,28.0,7.0,0.0,0.0,1.0,Welterweight,U-DEC,3,300,a890f9a791ed615d,6.0,0.0,177.8,77.11,180.34,Orthodox,33.0,1.25,0.54,1.47,0.58,4.8,0.52,0.66,0.4,22.0,9.0,180.34,77.11,190.5,Orthodox,32.0,5.17,0.52,5.15,0.52,1.04,0.6,0.62,0.7,-10.159999999999997,1.0,-2.539999999999992,0.020000000000000018,0.040000000000000036,3.76,1.0,0.7096774193548387,0.29032258064516125
5119,11aac355349ecc94,win,Jorge Masvidal,Cezar Ferreira,1.0,0.0,12.0,7.0,0.0,1.0,0.0,0.0,Welterweight,KO/TKO Elbow,1,262,a890f9a791ed615d,35.0,17.0,180.34,77.11,187.96,Orthodox,39.0,4.05,0.47,3.05,0.64,1.38,0.59,0.72,0.3,13.0,8.0,185.42,83.91,198.12,Southpaw,39.0,1.9,0.42,2.44,0.53,2.69,0.53,0.84,0.5,-10.159999999999997,0.0,-5.079999999999984,0.04999999999999999,-0.12,-1.31,0.6730769230769231,0.6190476190476191,0.05402930402930406
5120,95233ca23cdb02e6,win,Michelle Waterson-Gomez,Angela Magana,0.0,0.0,47.0,8.0,3.0,1.0,4.0,1.0,Women's Strawweight,SUB Rear Naked Choke,3,158,a890f9a791ed615d,18.0,12.0,160.02,52.16,157.48,Orthodox,38.0,3.56,0.46,4.19,0.49,1.42,0.32,0.7,0.7,11.0,9.0,154.94,52.16,165.1,Orthodox,40.0,1.53,0.28,4.92,0.42,0.4,0.25,0.28,0.4,-7.6200000000000045,-2.0,5.0800000000000125,0.18,0.41999999999999993,1.02,0.6,0.55,0.04999999999999993
5121,8410fb6d495a2cc2,win,Maximo Blanco,Mike de la Torre,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,Featherweight,KO/TKO Punch,1,16,a890f9a791ed615d,12.0,8.0,172.72,65.77,180.34,Orthodox,40.0,4.11,0.44,3.19,0.66,1.85,0.36,0.63,0.3,14.0,7.0,180.34,65.77,180.34,Orthodox,37.0,3.21,0.39,4.75,0.51,0.36,0.16,0.83,0.0,0.0,3.0,-7.6200000000000045,0.04999999999999999,-0.19999999999999996,1.4900000000000002,0.6,0.6666666666666666,-0.06666666666666665
5122,b823aa523c9618b5,win,Josh Samman,Caio Magalhaes,0.0,0.0,12.0,3.0,0.0,0.0,1.0,0.0,Middleweight,SUB Rear Naked Choke,1,172,a890f9a791ed615d,13.0,4.0,190.5,83.91,200.66,Orthodox,36.0,2.08,0.52,2.47,0.34,1.09,0.33,0.33,0.4,10.0,3.0,185.42,83.91,185.42,Orthodox,36.0,2.27,0.4,2.78,0.56,1.05,0.15,0.58,1.6,15.240000000000009,0.0,5.0800000000000125,0.12,-0.24999999999999994,0.040000000000000036,0.7647058823529411,0.7692307692307693,-0.004524886877828149
5123,c8ec30a470f08748,win,Jerrod Sanders,Russell Doane,0.0,1.0,15.0,13.0,3.0,1.0,3.0,3.0,Bantamweight,U-DEC,3,300,a890f9a791ed615d,16.0,3.0,172.72,61.23,182.88,Orthodox,44.0,0.88,0.64,1.14,0.46,2.2,0.33,0.5,1.6,15.0,8.0,170.18,61.23,177.8,Orthodox,37.0,1.75,0.4,1.68,0.53,2.11,0.45,0.52,0.8,5.079999999999984,7.0,2.539999999999992,0.24,-0.020000000000000018,0.0900000000000003,0.8421052631578947,0.6521739130434783,0.18993135011441642
5124,44e3a7b4f4c7d95d,win,Trevor Smith,Dan Miller,0.0,0.0,51.0,25.0,1.0,0.0,0.0,1.0,Middleweight,U-DEC,3,300,a890f9a791ed615d,15.0,10.0,190.5,83.91,190.5,Orthodox,43.0,3.29,0.55,3.31,0.51,1.7,0.32,0.6,0.7,14.0,8.0,185.42,83.91,187.96,Orthodox,42.0,2.03,0.36,3.06,0.49,1.67,0.54,0.47,1.8,2.539999999999992,1.0,5.0800000000000125,0.19000000000000006,0.13,0.030000000000000027,0.6,0.6363636363636364,-0.036363636363636376
5125,b2eccc1b75633d3d,win,George Sullivan,Dominic Waters,0.0,0.0,54.0,13.0,2.0,5.0,3.0,0.0,Welterweight,U-DEC,3,300,a890f9a791ed615d,17.0,7.0,182.88,77.11,185.42,Orthodox,43.0,3.53,0.39,2.42,0.57,1.37,0.2,0.38,0.7,9.0,5.0,185.42,77.11,200.66,Orthodox,34.0,0.48,0.23,2.53,0.39,4.07,0.52,0.28,0.0,-15.240000000000009,9.0,-2.539999999999992,0.16,0.09999999999999998,-2.7,0.7083333333333334,0.6428571428571429,0.06547619047619047
5126,96740aa476055413,win,Willie Gates,Darrell Montague,1.0,0.0,19.0,4.0,0.0,0.0,0.0,0.0,Flyweight,KO/TKO Punches,1,96,a890f9a791ed615d,12.0,7.0,172.72,56.7,182.88,Orthodox,37.0,1.8,0.38,4.28,0.38,0.0,0.0,0.67,0.4,13.0,5.0,167.64,56.7,170.18,Southpaw,36.0,1.92,0.25,5.38,0.52,0.72,0.25,0.33,1.4,12.699999999999989,1.0,5.0800000000000125,0.13,0.34,-0.72,0.631578947368421,0.7222222222222222,-0.09064327485380119
5127,70290140b6a8e038,win,Conor McGregor,Chad Mendes,1.0,0.0,46.0,31.0,0.0,4.0,0.0,0.0,Featherweight,KO/TKO Punch,2,297,3be081c29bf734d9,22.0,6.0,175.26,70.31,187.96,Southpaw,35.0,5.32,0.49,4.66,0.54,0.67,0.55,0.66,0.1,18.0,5.0,167.64,65.77,167.64,Orthodox,38.0,2.78,0.49,2.35,0.67,4.13,0.55,1.0,0.3,20.32000000000002,-3.0,7.6200000000000045,0.0,-0.33999999999999997,-3.46,0.7857142857142857,0.782608695652174,0.0031055900621117516
5128,ecb4534c0066c5f3,win,Robbie Lawler,Rory MacDonald,1.0,0.0,70.0,86.0,0.0,0.0,0.0,0.0,Welterweight,KO/TKO Punch,5,60,3be081c29bf734d9,30.0,16.0,180.34,77.11,187.96,Southpaw,42.0,3.85,0.47,4.67,0.59,0.65,0.64,0.65,0.0,19.0,4.0,182.88,77.11,193.04,Orthodox,34.0,3.75,0.42,2.8,0.62,1.77,0.47,0.88,0.4,-5.079999999999984,8.0,-2.539999999999992,0.04999999999999999,-0.22999999999999998,-1.12,0.6521739130434783,0.8260869565217391,-0.17391304347826086
5129,4d3cbc7608c8958e,win,Jeremy Stephens,Dennis Bermudez,2.0,0.0,38.0,35.0,0.0,1.0,0.0,0.0,Featherweight,KO/TKO Flying Knee,3,32,3be081c29bf734d9,28.0,19.0,175.26,65.77,180.34,Orthodox,37.0,3.17,0.4,3.05,0.58,1.16,0.38,0.65,0.4,17.0,9.0,167.64,70.31,167.64,Orthodox,37.0,4.42,0.46,3.07,0.59,3.89,0.4,0.82,1.1,12.700000000000017,0.0,7.6200000000000045,-0.06,-0.16999999999999993,-2.7300000000000004,0.5957446808510638,0.6538461538461539,-0.05810147299509005
5130,4b997af9fb321123,win,Gunnar Nelson,Brandon Thatch,1.0,0.0,6.0,8.0,0.0,0.0,1.0,0.0,Welterweight,SUB Rear Naked Choke,1,174,3be081c29bf734d9,19.0,5.0,180.34,77.11,182.88,Switch,35.0,1.84,0.61,3.0,0.49,1.9,0.59,0.66,1.0,11.0,5.0,187.96,77.11,187.96,Switch,38.0,2.7,0.42,3.63,0.52,1.36,0.66,0.5,0.7,-5.0800000000000125,-3.0,-7.6200000000000045,0.19,0.16000000000000003,0.5399999999999998,0.7916666666666666,0.6875,0.10416666666666663
5131,a9d8ddb49dbe414b,win,Thomas Almeida,Brad Pickett,1.0,1.0,24.0,20.0,0.0,0.0,0.0,0.0,Bantamweight,KO/TKO Flying Knee,2,29,3be081c29bf734d9,22.0,5.0,170.18,65.77,177.8,Southpaw,32.0,4.84,0.43,4.93,0.61,0.17,0.14,0.75,0.0,25.0,14.0,167.64,61.23,172.72,Orthodox,45.0,3.02,0.31,4.63,0.55,2.47,0.44,0.58,0.4,5.0800000000000125,-13.0,2.5400000000000205,0.12,0.17000000000000004,-2.3000000000000003,0.8148148148148148,0.6410256410256411,0.1737891737891737
5132,c4a7f7d8eb8fe484,win,Matt Brown,Tim Means,0.0,0.0,25.0,16.0,1.0,0.0,1.0,0.0,Welterweight,SUB Guillotine Choke,1,284,3be081c29bf734d9,26.0,19.0,182.88,77.11,190.5,Orthodox,43.0,3.76,0.55,2.92,0.55,1.68,0.46,0.63,1.3,33.0,15.0,187.96,77.11,190.5,Orthodox,40.0,5.1,0.49,3.65,0.6,1.16,0.42,0.65,0.2,0.0,3.0,-5.0800000000000125,0.06000000000000005,-0.020000000000000018,0.52,0.5777777777777777,0.6875,-0.10972222222222228
5133,824368db1ed8191f,win,Alex Garcia,Mike Swick,0.0,0.0,24.0,19.0,5.0,0.0,0.0,0.0,Welterweight,U-DEC,3,300,3be081c29bf734d9,15.0,6.0,175.26,77.11,182.88,Orthodox,36.0,1.81,0.31,3.03,0.59,3.72,0.52,0.66,0.1,15.0,6.0,185.42,77.11,195.58,Orthodox,44.0,2.36,0.37,2.29,0.54,1.06,0.5,0.61,0.6,-12.700000000000017,-8.0,-10.159999999999997,-0.06,0.050000000000000044,2.66,0.7142857142857143,0.7142857142857143,0.0
5134,2c5d329bdf182468,win,John Howard,Cathal Pendred,0.0,0.0,48.0,45.0,0.0,0.0,0.0,1.0,Welterweight,S-DEC,3,300,3be081c29bf734d9,24.0,13.0,170.18,77.11,182.88,Orthodox,41.0,2.15,0.5,3.08,0.51,2.7,0.49,0.53,0.4,17.0,4.0,185.42,77.11,190.5,Orthodox,36.0,2.49,0.44,3.01,0.55,2.46,0.23,0.83,0.4,-7.6200000000000045,5.0,-15.23999999999998,0.06,-0.29999999999999993,0.2400000000000002,0.6486486486486487,0.8095238095238095,-0.16087516087516085
5135,8c8c2499d89da07c,win,Cody Garbrandt,Henry Briones,1.0,0.0,64.0,35.0,3.0,0.0,0.0,0.0,Bantamweight,U-DEC,3,300,3be081c29bf734d9,14.0,5.0,172.72,61.23,165.1,Orthodox,32.0,3.06,0.4,3.91,0.6,1.1,0.34,0.8,0.0,16.0,8.0,172.72,61.23,175.26,Orthodox,43.0,3.47,0.42,4.68,0.53,0.0,0.0,0.52,0.6,-10.159999999999997,-11.0,0.0,-0.019999999999999962,0.28,1.1,0.7368421052631579,0.6666666666666666,0.07017543859649122
5136,9f56b3c053c44060,win,Louis Smolka,Neil Seery,0.0,1.0,23.0,21.0,6.0,0.0,5.0,3.0,Flyweight,U-DEC,3,300,3be081c29bf734d9,17.0,9.0,175.26,61.23,172.72,Orthodox,32.0,4.67,0.47,4.11,0.53,1.69,0.35,0.32,1.8,16.0,13.0,162.56,56.7,162.56,Orthodox,44.0,3.56,0.41,3.79,0.58,0.78,0.27,0.53,1.6,10.159999999999997,-12.0,12.699999999999989,0.06,-0.21000000000000002,0.9099999999999999,0.6538461538461539,0.5517241379310345,0.10212201591511938
5137,b90eded8d6b65e8f,win,Cody Pfister,Yosdenis Cedeno,0.0,0.0,15.0,26.0,5.0,0.0,0.0,1.0,Lightweight,U-DEC,3,300,3be081c29bf734d9,13.0,6.0,177.8,70.31,185.42,Orthodox,33.0,1.41,0.25,2.8,0.51,2.82,0.3,0.0,0.0,10.0,6.0,172.72,70.31,175.26,Orthodox,39.0,1.64,0.29,1.6,0.67,0.0,0.0,0.31,0.3,10.159999999999997,-6.0,5.0800000000000125,-0.03999999999999998,-0.31,2.82,0.6842105263157895,0.625,0.05921052631578949
