,Fight_Id,Win/No Contest/Draw,Fighter_1,Fighter_2,KD_1,KD_2,STR_1,STR_2,TD_1,TD_2,SUB_1,SUB_2,Weight_Class,Method,Round,Fight_Time,Event_Id,f1_wins,f1_losses,f1_height,f1_weight,f1_reach,f1_stance,f1_age,f1_SLpM,f1_sig_str_acc,f1_SApM,f1_str_def,f1_td_avg,f1_td_acc,f1_td_def,f1_sub_avg,f2_wins,f2_losses,f2_height,f2_weight,f2_reach,f2_stance,f2_age,f2_SLpM,f2_sig_str_acc,f2_SApM,f2_str_def,f2_td_avg,f2_td_acc,f2_td_def,f2_sub_avg,reach_diff,age_diff,height_diff,sig_str_diff,td_def_diff,td_avg_diff,f1_win_rate,f2_win_rate,win_rate_diff
2246,c9283da5f4d7aaf4,win,Tim Means,Nicolas Dalby,0.0,0.0,53.0,54.0,1.0,0.0,0.0,0.0,Welterweight,U-DEC,3,300,a1d6b308781aa2f5,33.0,15.0,187.96,77.11,190.5,Orthodox,40.0,5.1,0.49,3.65,0.6,1.16,0.42,0.65,0.2,23.0,4.0,180.34,77.11,187.96,Orthodox,39.0,4.03,0.43,3.43,0.52,1.11,0.3,0.6,0.1,2.539999999999992,1.0,7.6200000000000045,0.06,0.050000000000000044,0.04999999999999982,0.6875,0.8518518518518519,-0.16435185185185186
2247,4341ebb5a56e6943,win,Renato Moicano,Jai Herbert,0.0,0.0,26.0,7.0,5.0,0.0,1.0,0.0,Lightweight,SUB Rear Naked Choke,2,274,a1d6b308781aa2f5,18.0,5.0,180.34,70.31,182.88,Orthodox,34.0,4.41,0.47,3.8,0.6,1.8,0.47,0.72,0.6,12.0,5.0,185.42,70.31,195.58,Orthodox,35.0,2.69,0.41,3.15,0.45,0.2,0.1,0.57,0.0,-12.700000000000017,-1.0,-5.079999999999984,0.06,0.15000000000000002,1.6,0.782608695652174,0.7058823529411765,0.07672634271099743
2248,85099c6378ff87c5,win,Kennedy Nzechukwu,Danilo Marques,0.0,0.0,31.0,10.0,0.0,2.0,0.0,0.0,Light Heavyweight,KO/TKO Punches,3,20,a1d6b308781aa2f5,12.0,5.0,195.58,92.99,210.82,Southpaw,31.0,5.13,0.45,4.9,0.5,0.6,0.45,0.8,0.2,11.0,4.0,198.12,92.99,195.58,Orthodox,38.0,1.44,0.79,2.52,0.52,3.93,0.28,0.0,0.8,15.23999999999998,-7.0,-2.539999999999992,-0.34,0.8,-3.33,0.7058823529411765,0.7333333333333333,-0.027450980392156765
2249,086c2a0cae0835c4,win,Shavkat Rakhmonov,Michel Prazeres,0.0,0.0,21.0,6.0,1.0,0.0,1.0,0.0,Welterweight,SUB Rear Naked Choke,2,130,a1d6b308781aa2f5,18.0,0.0,185.42,77.11,195.58,Orthodox,29.0,4.12,0.61,2.41,0.51,1.49,0.29,1.0,1.8,26.0,4.0,167.64,77.11,170.18,Orthodox,42.0,2.38,0.47,2.51,0.57,3.94,0.36,0.47,0.6,25.400000000000006,-13.0,17.78,0.14,0.53,-2.45,1.0,0.8666666666666667,0.1333333333333333
2250,81de3929330076d2,win,Jeremiah Wells,Warlley Alves,1.0,0.0,21.0,15.0,0.0,0.0,0.0,1.0,Welterweight,KO/TKO Punch,2,30,a1d6b308781aa2f5,12.0,4.0,175.26,77.11,187.96,Switch,37.0,2.41,0.43,1.31,0.48,3.08,0.44,0.8,0.8,15.0,7.0,180.34,83.91,182.88,Orthodox,33.0,3.25,0.48,4.21,0.5,1.35,0.5,0.8,0.9,5.0800000000000125,4.0,-5.0800000000000125,-0.04999999999999999,0.0,1.73,0.75,0.6818181818181818,0.06818181818181823
2251,d988760df61f027c,win,Marcin Prachnio,Ike Villanueva,1.0,0.0,59.0,34.0,0.0,1.0,0.0,0.0,Light Heavyweight,KO/TKO Kick,2,56,a1d6b308781aa2f5,17.0,7.0,190.5,92.99,187.96,Orthodox,35.0,5.61,0.55,3.3,0.54,0.17,0.2,0.58,0.0,18.0,14.0,185.42,92.99,185.42,Orthodox,39.0,3.66,0.38,7.24,0.36,0.6,0.5,1.0,0.0,2.5400000000000205,-4.0,5.0800000000000125,0.17000000000000004,-0.42000000000000004,-0.42999999999999994,0.7083333333333334,0.5625,0.14583333333333337
2252,0eac7075bf3d7ab7,win,Julia Avila,Julija Stoliarenko,0.0,0.0,48.0,40.0,1.0,1.0,1.0,0.0,Women's Bantamweight,SUB Rear Naked Choke,3,259,a1d6b308781aa2f5,9.0,3.0,170.18,61.23,172.72,Orthodox,35.0,2.59,0.43,2.86,0.5,0.54,0.33,0.5,0.3,11.0,9.0,170.18,56.7,167.64,Orthodox,30.0,2.49,0.39,4.54,0.46,0.93,0.27,0.54,1.7,5.0800000000000125,5.0,0.0,0.03999999999999998,-0.040000000000000036,-0.39,0.75,0.55,0.19999999999999996
2253,5357dab4d331eb18,win,Charles Rosa,Justin Jaynes,0.0,0.0,51.0,44.0,2.0,2.0,2.0,2.0,Featherweight,S-DEC,3,300,a1d6b308781aa2f5,14.0,8.0,175.26,65.77,175.26,Switch,37.0,3.08,0.36,3.86,0.47,1.67,0.35,0.38,1.0,16.0,8.0,170.18,65.77,172.72,Orthodox,34.0,3.34,0.44,5.33,0.62,0.75,0.4,0.2,1.1,2.539999999999992,3.0,5.079999999999984,-0.08000000000000002,0.18,0.9199999999999999,0.6363636363636364,0.6666666666666666,-0.030303030303030276
2254,23c7c6ceee34585f,win,Damir Hadzovic,Yancy Medeiros,0.0,0.0,121.0,103.0,2.0,2.0,0.0,2.0,Lightweight,U-DEC,3,300,a1d6b308781aa2f5,14.0,7.0,175.26,70.31,177.8,Orthodox,37.0,3.36,0.48,3.26,0.62,0.78,0.55,0.34,0.2,15.0,8.0,177.8,70.31,190.5,Orthodox,36.0,4.36,0.37,5.67,0.47,0.33,0.5,0.73,0.7,-12.699999999999989,1.0,-2.5400000000000205,0.10999999999999999,-0.38999999999999996,0.45,0.6666666666666666,0.6521739130434783,0.01449275362318836
2255,50cae63d530ede7c,win,Chan Sung Jung,Dan Ige,0.0,0.0,92.0,80.0,3.0,0.0,3.0,0.0,Featherweight,U-DEC,5,300,9ddfb3369a3b0394,17.0,8.0,170.18,65.77,182.88,Orthodox,37.0,3.93,0.41,4.52,0.52,0.7,0.44,0.72,0.6,18.0,7.0,170.18,65.77,180.34,Orthodox,32.0,3.76,0.45,3.52,0.57,1.06,0.26,0.58,0.3,2.539999999999992,5.0,0.0,-0.040000000000000036,0.14,-0.3600000000000001,0.68,0.72,-0.039999999999999925
